Raw material,Unit,Price per unit,Category
קמח חורסאן מנופה (נ.א),kg,11.5,קמחים
קמח איינקורן מנופה (נ.א),kg,15,קמחים
קמח אמר מנופה (נ.א),kg,12.5,קמחים
קמח חיטה מלא מנופה (נ.א) 5 kg ,kg ,5.7,קמחים
קמח חיטה 70% מלא מנופה (נ.א) 5 kg ,kg,5.7,קמחים
קמח כוסמין מלא מנופה (נ.א) 5 kg ,kg ,9.1,קמחים
קמח כוסמין 70% מלא (נ.א) 5 kg ,kg,9.1,קמחים
קמח רימצ׳ינטה איטליה מנופה (נ.א) 5 kg ,kg,9,קמחים
קמח צרפתי 65 לבגט (נ.א) מנופה 5 kg ,kg ,6.6,קמחים
קמח 55 טריו מנופה (נ.א) 5 kg ,kg ,7.8,קמחים
קמח חיטה איכותי לבן מנופה (נ.א) 5 kg ,kg,7.9,קמחים
קמח 812 לחם כפרי מנופה (נ.א),kg,6.4,קמחים
קמח כפרי צרפתי 80 מנופה (נ.א),kg ,7,קמחים
קמח 550 רב תכליתי מנופה (נ.א),kg ,4.9,קמחים
קמח 55 גריו מנופה (נ.א),kg ,7.4,קמחים
קמח צרפתי 55 לקרואסון ובגט מנופה (נ.א),kg,7.4,קמחים
קמח פיצה מנופה (נ.א),kg,7,קמחים
קמח פסטה רימצ'ינטה מנופה (נ.א),kg,9.6,קמחים
קמח חיטה כפרי 70% מנופה (נ.א) ,kg,8.5,קמחים
קמח חיטה איכות מלא מנופה (נ.א) 1ק''ג,kg,8.5,קמחים
קמח חיטה איכות לבן מנופה (נ.א) 1ק''ג,kg,5.7,קמחים
קמח שיפון מלא מנופה (נ.א) ,kg,5.9,קמחים
קמח כוסמין לבן מנופה (נ.א) 5 ק''ג ,kg,9.1,קמחים
קמח לחם גרמני 630 מנופה(נ.א) 5 ק''ג,kg,6.4,קמחים
קמח צרפתי 45 מנופה(נ.א) 5 ק''ג,kg,8,קמחים
מולינו ירוק ללא גלוטן,kg,13,קמחים
קמח פיצריה קאפוטו (דיפלומט) ,kg,10.08,קמחים
קמח סקורוסו (דיפלומט) 5 ק''ג ,kg,7.87,קמחים
חמאה אירית 10 ק''ג ( גד ),kg,27,חלב וגבינות
חלב קרטון 3% ( גד ) ,kg,5.23,חלב וגבינות
שמנת ק''ג טבעי ( גד ) ,kg,29.99,חלב וגבינות
פרוסות גאודה בקר ( גד ) ,kg,16.11,חלב וגבינות
ריקוטה ק''ג ( גד ) ,kg,9.17,חלב וגבינות
שמנת 15% 500 מ''ל ( גד ) ,kg,4.93,חלב וגבינות
קממבר בקר עגול ( גד ) ,kg,61.4,חלב וגבינות
בולגרית מעודנת 24% ( גד ) ,kg,41,חלב וגבינות
מוצרלה מגוררת 2 ק''ג ( גד ) ,kg,41.25,חלב וגבינות
מוצרלה פרסקה במים ( גד ) ,kg,57.94,חלב וגבינות
מסקרפונה ק''ג ( גד ) ,kg,42.83,חלב וגבינות
ריקוטה למילוי מחלבה ( גד ) ,kg,,חלב וגבינות
שמנת מתוקה ( גד ) ,kg,43.22,חלב וגבינות
בקתה טל העמק ( גד ),kg,42,חלב וגבינות
גליל גד עזים ( גד ) ,kg,30.74,חלב וגבינות
חמאה לבנה 10 ק''ג (גד ) ,kg,29.6,חלב וגבינות
מים,kg,1,כללי
